order_id,order_code,customer_id,product_name,order_date,quantity,unit_price,discount,payment_method,order_status
1001,O001,1,iPhone 15,15-01-2025,1,69999,0,UPI,Completed
1002,O002,2,iPhone 14,18-01-2025,2,59999,500,Card,Completed
1003,O003,3,iPhone 15 Pro,20-01-2025,1,129999,0,Cash,Completed
1004,O004,4,iPhone 13,25-01-2025,1,49999,1000,UPI,Completed
1005,O005,5,iPhone 16,01-02-2025,2,79999,2000,Card,Completed
1006,O006,6,iPhone 14 Plus,03-02-2025,1,69999,0,UPI,Pending
1007,O007,7,iPhone 15,05-02-2025,1,69999,500,Card,Completed
1008,O008,8,iPhone 12,08-02-2025,3,39999,1000,Cash,Completed
1009,O009,9,iPhone 16 Pro,10-02-2025,1,119999,5000,Card,Completed
1010,O010,10,iPhone SE,12-02-2025,1,34999,0,UPI,Completed
1011,O011,1,iPhone 14 Pro,15-02-2025,1,109999,2000,Card,Completed
1012,O012,2,iPhone 13 Mini,18-02-2025,2,49999,0,UPI,Completed
1013,O013,11,iPhone 15 Pro Max,20-02-2025,1,159999,5000,Card,Completed
1014,O014,12,iPhone 11,22-02-2025,1,29999,0,Cash,Completed
1015,O015,13,iPhone 15 Plus,25-02-2025,1,79999,1000,UPI,Completed
1016,O016,14,iPhone 12 Mini,28-02-2025,2,39999,500,Card,Completed
1017,O017,15,iPhone 16 Pro Max,02-03-2025,1,144999,10000,UPI,Completed
1018,O018,16,iPhone 14,05-03-2025,1,59999,0,Card,Cancelled
1019,O019,17,iPhone 13,08-03-2025,2,49999,1000,UPI,Completed
1020,O020,18,iPhone 15,10-03-2025,1,69999,0,Cash,Completed
1021,O021,19,iPhone 16,12-03-2025,1,79999,3000,Card,Completed
1022,O022,20,iPhone 14 Pro Max,15-03-2025,1,129999,5000,UPI,Completed
1023,O023,21,iPhone 15 Pro,18-03-2025,1,129999,0,Card,Completed
1024,O024,22,iPhone 12,20-03-2025,2,39999,500,UPI,Completed
1025,O025,23,iPhone 13,22-03-2025,1,49999,0,Cash,Pending
1026,O026,24,iPhone 15 Plus,25-03-2025,1,79999,2000,Card,Completed
1027,O027,25,iPhone 16,28-03-2025,1,79999,1000,UPI,Completed
1028,O028,26,iPhone 14,01-04-2025,2,59999,0,Card,Completed
1029,O029,27,iPhone 11,03-04-2025,1,29999,500,Cash,Completed
1030,O030,28,iPhone 15 Pro Max,05-04-2025,1,159999,10000,Card,Completed
1031,O031,29,iPhone 13 Mini,08-04-2025,1,49999,0,UPI,Completed
1032,O032,30,iPhone 12 Mini,10-04-2025,2,39999,1000,Card,Completed
1033,O033,31,iPhone 16 Pro,12-04-2025,1,119999,5000,UPI,Completed
1034,O034,32,iPhone SE,15-04-2025,1,34999,0,Cash,Completed
1035,O035,33,iPhone 15,18-04-2025,1,69999,500,Card,Completed
1036,O036,34,iPhone 14 Plus,20-04-2025,1,69999,0,UPI,Completed
1037,O037,35,iPhone 16 Pro Max,22-04-2025,1,144999,5000,Card,Completed
1038,O038,36,iPhone 13,25-04-2025,2,49999,0,UPI,Completed
1039,O039,37,iPhone 15 Pro,28-04-2025,1,129999,2000,Card,Completed
1040,O040,38,iPhone 12,01-05-2025,1,39999,0,Cash,Cancelled
1041,O041,39,iPhone 16,03-05-2025,1,79999,3000,UPI,Completed
1042,O042,40,iPhone 14 Pro,05-05-2025,1,109999,5000,Card,Completed
1043,O043,41,iPhone 15 Plus,08-05-2025,2,79999,1000,UPI,Completed
1044,O044,42,iPhone 13,10-05-2025,1,49999,0,Card,Completed
1045,O045,43,iPhone 16 Pro,12-05-2025,1,119999,2000,UPI,Completed
1046,O046,44,iPhone 14,15-05-2025,2,59999,500,Cash,Completed
1047,O047,45,iPhone 15 Pro Max,18-05-2025,1,159999,10000,Card,Completed
1048,O048,46,iPhone 11,20-05-2025,1,29999,0,UPI,Completed
1049,O049,47,iPhone 12 Mini,22-05-2025,2,39999,500,Card,Completed
1050,O050,49,iPhone 16 Pro,25-05-2025,1,119999,0,UPI,Completed
1051,O051,50,iPhone 15,28-05-2025,1,69999,1000,Card,Completed
1052,O052,1,iPhone 16 Pro Max,01-06-2025,1,144999,5000,UPI,Completed
1053,O053,2,iPhone 14,03-06-2025,1,59999,0,Card,Completed
1054,O054,5,iPhone 13,05-06-2025,3,49999,1500,UPI,Completed
1055,O055,10,iPhone 15 Pro,08-06-2025,1,129999,0,Card,Completed
1056,O056,13,iPhone 16,10-06-2025,1,79999,2000,UPI,Completed
1057,O057,20,iPhone 14 Pro Max,12-06-2025,1,129999,5000,Card,Completed
1058,O058,21,iPhone 12,15-06-2025,2,39999,0,UPI,Completed
1059,O059,25,iPhone 15 Plus,18-06-2025,1,79999,1000,Card,Completed
1060,O060,30,iPhone 16 Pro,20-06-2025,1,119999,3000,UPI,Completed
1061,O061,31,iPhone 15,22-06-2025,1,69999,0,Card,Completed
1062,O062,35,iPhone 14,25-06-2025,2,59999,500,UPI,Completed
1063,O063,39,iPhone 13,28-06-2025,1,49999,0,Card,Completed
1064,O064,40,iPhone 15 Pro Max,01-07-2025,1,159999,10000,UPI,Completed
1065,O065,41,iPhone SE,03-07-2025,1,34999,0,Cash,Completed
1066,O066,44,iPhone 16,05-07-2025,2,79999,2000,Card,Completed
1067,O067,45,iPhone 14 Plus,08-07-2025,1,69999,0,UPI,Pending
1068,O068,46,iPhone 12 Mini,10-07-2025,1,39999,500,Card,Completed
1069,O069,47,iPhone 15 Pro,12-07-2025,1,129999,5000,UPI,Completed
1070,O070,50,iPhone 16 Pro Max,15-07-2025,1,144999,10000,Card,Completed
